y	x
438	595
422	633
408	583
407	555
409	606
405	567
404	543
403	592
400	580
402	634
401	506
399	495
396	567
397	551
398	557
393	623
392	510
390	556
389	586
385	635
387	599
391	540
385	504
387	375
384	566
384	515
381	461
381	419
381	555
378	523
376	513
375	389
380	618
375	625
374	600
366	329
367	375
365	533
362	366
365	315
362	299
358	289
353	605
353	364
355	279
351	291
349	356
345	264
343	252
337	241
316	223
314	235
312	176
310	119
304	199
305	221
299	289
299	167
294	211
288	106
288	91
281	199
281	104
279	168
275	191
269	90
