y	x
510	624
510	553
510	462
509	483
508	522
506	459
505	553
499	511
498	553
498	517
498	448
499	478
496	607
493	615
494	502
490	591
491	496
489	608
487	633
485	445
485	455
480	497
476	464
475	518
471	554
475	503
470	632
471	456
464	441
463	638
462	534
460	471
461	553
471	482
455	549
455	466
453	562
457	584
454	571
451	241
448	535
446	223
445	567
445	236
441	556
435	240
430	31
430	407
431	97
429	20
428	12
425	105
424	165
423	225
423	40
422	425
420	20
420	259
416	21
416	164
414	426
414	297
412	457
409	462
413	268
401	466
402	454
403	307
397	623
395	328
394	338
393	407
391	459
390	313
390	620
391	465
392	251
389	633
388	335
387	627
387	495
388	451
386	341
386	320
383	411
383	386
384	308
381	637
381	629
382	612
380	456
381	371
381	340
382	328
383	486
378	432
381	621
377	353
375	636
374	410
376	320
373	312
377	277
372	626
370	433
371	474
369	403
366	471
367	344
364	335
365	620
364	384
362	464
361	611
361	330
358	550
355	321
353	622
356	595
353	398
352	335
361	423
348	415
345	401
344	330
343	343
341	310
338	547
338	491
336	243
337	525
334	318
333	297
331	542
329	512
328	332
323	269
320	460
321	312
321	526
319	610
319	281
319	258
318	513
318	466
317	472
316	520
314	354
314	277
312	263
314	334
310	323
310	626
311	314
306	635
307	236
303	427
302	333
301	321
301	281
299	360
296	443
295	313
295	306
294	635
290	455
290	627
291	322
286	305
285	347
283	327
284	418
283	320
286	333
280	466
276	353
275	463
276	634
272	406
271	415
274	328
274	317
271	604
269	619
267	353
268	309
267	634
265	455
265	407
263	608
263	324
259	425
258	634
257	403
257	345
254	336
245	267
243	624
240	633
240	272
237	432
235	470
235	367
234	444
234	356
231	615
230	429
228	176
232	456
227	267
230	141
227	390
235	249
227	533
226	398
229	167
224	540
223	353
230	288
222	443
224	209
221	526
222	252
219	638
219	631
218	393
220	336
220	217
220	160
216	416
220	363
217	86
223	435
214	353
213	218
216	182
208	613
208	544
210	521
208	438
207	628
212	170
205	635
204	398
202	516
207	360
202	194
201	10
201	447
200	351
198	525
197	357
198	333
194	394
195	444
193	415
190	526
191	516
189	360
189	436
187	367
187	637
186	630
186	444
187	333
188	539
183	424
182	359
181	184
177	538
177	463
177	334
176	516
173	433
170	631
171	372
169	424
169	619
166	520
169	511
163	614
162	637
165	541
160	519
160	484
163	531
157	608
153	614
155	512
143	517
114	231
111	214
107	203
103	546
101	193
99	151
96	176
92	230
89	545
86	553
67	199
44	30
38	56
34	16
33	41
32	21
34	30
28	5
25	38
25	21
15	103
14	27
9	53
