y	x
2024	2510
2008	599
2007	438
2005	533
2006	470
1980	421
1977	561
1967	626
1941	295
1938	460
1924	559
1919	919
1905	470
1916	520
1891	561
1882	921
1890	729
1858	952
1857	504
1840	915
1822	946
1837	303
1844	576
1802	921
1791	1041
1790	2133
1786	1083
1781	2159
1780	939
1770	916
1761	1369
1764	1197
1751	628
1740	893
1742	2168
1729	861
1708	989
1726	934
1706	888
1713	617
1685	1322
1681	1295
1681	980
1681	852
1670	2407
1664	1275
1667	2436
1660	1309
1659	2379
1662	1526
1662	820
1645	1302
1647	968
1637	945
1639	1268
1635	1124
1634	870
1621	1155
1616	1254
1616	1291
1598	1114
1593	875
1599	1236
1591	1553
1596	915
1575	1529
1574	1505
1568	1245
1567	1128
1575	832
1561	889
1558	1421
1560	1045
1544	1207
1537	1492
1534	1110
1527	823
1521	443
1521	1193
1514	374
1512	1552
1505	424
1507	1058
1476	316
1482	587
1486	388
1471	419
1482	455
1458	334
1459	1600
1481	485
1447	390
1447	523
1448	437
1442	648
1441	563
1431	1586
1429	463
1426	1550
1413	1687
1408	699
1404	652
1415	489
1395	452
1408	523
1385	790
1392	1674
1397	553
1386	1641
1400	604
1377	689
1368	1554
1362	531
1359	706
1362	586
1359	1671
1359	374
1341	1619
1339	1244
1336	1641
1330	1661
1326	1501
1329	571
1321	1551
1315	1589
1310	1713
1317	921
1309	856
1301	1546
1299	1672
1299	757
1292	1491
1295	792
1280	1206
1265	823
1263	852
1251	951
1249	1610
1247	906
1256	2450
1246	1680
1237	1551
1240	1102
1234	872
1236	1458
1240	766
1230	1402
1231	1133
1226	833
1226	1206
1217	1725
1216	1559
1217	1075
1213	1428
1213	1701
1208	1386
1196	1068
1196	1299
1193	1019
1186	1399
1189	1582
1182	952
1180	1414
1179	1174
1180	1454
1178	2366
1177	2054
1188	1959
1193	2107
1174	1147
1174	2275
1166	1936
1166	899
1164	860
1152	1492
1166	803
1162	1061
1150	1542
1147	972
1164	2027
1152	2431
1149	2061
1142	1613
1140	2229
1139	1260
1139	1155
1138	2358
1134	2008
1125	2045
1120	1189
1114	1690
1116	1887
1107	2019
1110	1329
1110	1963
1121	1119
1106	2398
1108	2320
1097	1404
1094	1217
1094	1673
1098	1020
1098	1937
1086	2064
1093	1523
1088	1727
1083	1605
1079	1630
1094	2502
1076	1116
1070	1260
1063	1015
1064	1227
1052	1725
1051	1698
1078	1977
1051	1559
1047	2113
1045	2065
1050	1471
1032	1510
1031	2033
1029	1916
1027	1191
1025	2332
1025	1970
1027	1888
1011	1944
1008	2517
1014	2461
998	1195
988	1860
975	2057
975	1819
978	2016
966	1913
964	1198
952	1864
948	1960
942	2199
937	1925
943	2429
929	1836
940	1753
920	2379
911	2218
903	1492
905	2548
893	2033
898	2497
884	2351
871	2394
876	2073
863	1907
850	2490
862	2424
834	2393
813	2517
775	1858
778	2502
774	2390
771	2266
734	2044
725	2213
713	2311
709	1845
704	2398
715	2473
683	2161
672	2355
671	2127
655	2181
646	1957
638	2490
615	2271
613	2201
616	2343
605	2402
608	2451
604	2540
581	2083
558	2501
556	2263
537	2185
530	2137
519	2071
483	2468
471	2076
470	2051
462	2398
465	2529
444	2486
423	2073
425	2439
403	2494
363	2306
361	2173
340	2461
283	2092
266	2074
268	2417
259	2098
230	2416
209	2148
200	2121
