y	x
447	145
442	161
441	287
441	191
440	39
439	584
437	230
435	279
436	303
432	217
434	166
433	268
432	188
430	291
427	280
427	246
423	98
422	278
425	155
422	48
421	321
420	312
420	108
417	412
416	367
420	399
417	150
418	269
414	87
414	306
418	187
414	96
410	80
416	198
406	309
405	418
405	240
407	178
413	290
410	212
400	201
402	190
400	162
401	146
400	404
410	226
399	323
398	294
398	263
395	208
397	183
400	304
403	275
393	329
395	233
391	174
389	224
388	208
384	268
380	306
379	364
377	182
373	241
372	286
328	623
287	544
279	319
278	380
275	298
273	536
268	294
264	321
260	139
258	520
258	190
256	230
255	401
256	383
251	276
250	219
251	174
250	204
251	258
248	123
248	168
247	369
245	144
247	115
248	133
251	419
247	236
244	95
243	282
242	396
240	469
242	355
245	313
241	175
241	343
240	258
240	151
241	427
238	239
240	139
239	185
240	270
239	249
236	281
236	50
236	488
234	239
233	181
233	366
238	221
232	74
230	323
229	184
231	146
231	264
229	252
228	382
232	333
229	103
228	494
227	357
227	118
224	202
232	132
224	66
224	370
223	339
225	318
227	296
222	255
228	153
222	431
227	423
222	289
222	148
220	456
220	109
220	73
219	159
219	135
225	97
218	88
220	245
221	233
215	253
215	196
214	166
213	341
214	313
213	185
213	298
213	179
211	264
212	238
210	144
211	119
220	274
209	191
209	76
208	334
208	246
209	158
207	173
207	80
206	319
204	295
204	311
203	128
206	280
201	303
201	224
200	331
199	147
197	174
192	297
187	329
184	294
185	164
165	596
160	636
128	378
124	425
125	418
118	368
118	450
115	464
117	144
113	240
114	422
112	403
108	232
109	364
107	288
107	462
107	425
105	520
108	327
104	189
103	316
104	256
103	495
109	510
102	378
102	173
101	339
100	296
100	270
99	462
100	366
99	130
96	401
97	263
96	190
96	376
95	325
94	317
95	255
94	233
95	509
94	412
98	355
93	346
93	292
92	276
91	371
100	439
89	282
89	194
88	508
88	333
87	498
85	477
85	322
90	307
94	157
84	347
80	175
81	371
77	413
75	325
73	284
75	206
72	431
73	155
73	147
71	249
72	379
68	364
68	178
68	412
70	341
68	203
67	333
66	193
65	311
62	440
63	414
62	390
60	319
59	405
56	380
55	329
55	313
56	297
55	249
60	376
59	350
56	367
50	387
48	338
45	375
36	375
35	368
33	262
28	391
23	320
20	400
12	379
12	356
7	335
6	284
4	362
3	380
