y	x
1804	574
1775	630
1775	508
1757	582
1750	791
1721	564
1694	847
1698	723
1689	685
1687	580
1659	645
1658	599
1654	664
1649	738
1644	882
1638	685
1662	621
1626	706
1616	640
1602	663
1596	863
1605	973
1599	895
1588	770
1708	749
1577	719
1578	924
1562	561
1550	818
1543	878
1510	736
1507	684
1521	799
1536	980
1496	966
1481	655
1479	754
1496	708
1479	852
1458	824
1463	1039
1447	788
1451	971
1442	1005
1429	655
1435	759
1431	704
1412	794
1401	732
1384	1207
1401	1016
1380	977
1362	1071
1351	1200
1341	1041
1340	784
1339	909
1331	998
1418	875
1313	1191
1304	944
1291	757
1303	845
1282	1117
1272	784
1266	960
1250	852
1244	1003
1235	1047
1240	2411
1230	2085
1233	1494
1257	911
1228	1131
1233	2000
1223	2459
1218	1192
1204	903
1190	2359
1201	2264
1196	1132
1197	2546
1190	1091
1186	1048
1190	2091
1183	1963
1177	2505
1193	2308
1182	1471
1182	846
1218	1261
1178	1188
1189	1004
1176	927
1173	902
1204	2356
1156	1239
1166	1501
1176	2024
1157	1090
1159	1169
1168	2407
1155	1113
1172	1387
1156	1523
1158	1303
1143	1139
1141	1878
1153	2452
1143	1239
1136	2512
1133	2079
1126	947
1120	1727
1119	2489
1125	2413
1116	2048
1111	977
1115	1161
1109	1249
1107	2104
1124	1628
1102	1446
1108	1271
1094	1251
1104	1128
1101	2024
1096	991
1109	1987
1096	1390
1099	2186
1089	1069
1092	1557
1101	1223
1089	1964
1101	2534
1080	1880
1085	2309
1090	2141
1101	1318
1076	1157
1089	1901
1072	1586
1069	1375
1088	1027
1059	1939
1068	2489
1067	1206
1060	2249
1057	2555
1053	1720
1045	2024
1046	1130
1045	1636
1046	1288
1049	2205
1032	1912
1030	1237
1035	2157
1034	2519
1032	1339
1022	2096
1025	1973
1015	1923
1016	1777
1023	1679
1009	2551
1012	2192
1004	1191
1038	1452
1018	1400
991	1319
1014	2455
1013	2333
1013	2129
1014	1493
982	2499
988	1269
978	1718
986	2025
988	1546
982	1354
970	2198
1027	2070
966	1676
968	1624
965	2169
951	1308
949	2482
964	1964
965	1773
969	1996
965	1838
944	2439
959	1449
930	2062
938	2524
925	1508
931	2400
929	1728
934	2106
917	1605
961	1893
916	1680
910	2012
909	1444
911	1558
906	2450
906	1846
955	2241
889	2311
916	1379
886	2048
884	1421
897	2328
882	1476
1014	2349
876	2019
874	2228
878	1900
878	1602
876	2383
877	1339
865	1986
884	1763
872	2188
860	1450
858	1831
844	1546
836	2302
804	2070
792	1574
